organization_id,year,month,account_type,avg_balance,total_income,total_expense
1c04d833-7442-4ea2-a33c-e9a6b7b5acca,2025,8,bank,181174.31,0.00,0.00
426da6ca-0d71-485b-aa12-69f97706fcc0,2025,8,bank,196499.81,1115092.38,878966.54
426da6ca-0d71-485b-aa12-69f97706fcc0,2025,8,cash,0.16,0.00,0.00
426da6ca-0d71-485b-aa12-69f97706fcc0,2025,8,total,730274.64,868126.00,472000.00
54a85dd2-91a7-416b-a7aa-7bb6c42c85cf,2025,8,bank,275438.88,0.00,0.00
599c53d8-ae5f-468a-8769-e539844bc5bb,2025,8,bank,317333.51,69780.00,10171790.00
599c53d8-ae5f-468a-8769-e539844bc5bb,2025,8,total,371408.54,43200.00,0.00
6140a272-f059-4a7a-bfb9-3c2bb66a4cc2,2025,8,bank,137389.58,0.00,102398.26
73e3ad74-bc0e-4166-a8ad-de1e368195a0,2025,8,bank,39339.76,1992673.28,3695810.92
73e3ad74-bc0e-4166-a8ad-de1e368195a0,2025,8,total,70667.78,0.00,13257935.24
b70847ba-9f48-46a2-ab9a-b1cf946137ef,2025,8,bank,79840.56,2729099.60,14692546.00
b70847ba-9f48-46a2-ab9a-b1cf946137ef,2025,8,total,163630.15,60000.00,0.00
bcdd558a-74a4-4944-9872-e72f47c6ee87,2025,8,bank,31142.70,0.00,0.00
d1147a8c-7152-4931-a1f8-47af3ff00abb,2025,8,bank,277338.66,11807594.56,12482180.98
d1147a8c-7152-4931-a1f8-47af3ff00abb,2025,8,total,6045701.54,0.00,0.00
f0c46341-35ea-4bbe-8ba8-4a4c78da4c70,2025,8,bank,36894.41,0.00,0.00
f763544c-ecea-4c84-8f39-ecee229943db,2025,8,bank,793066.91,37924304.00,10622442.24
fdc7e9ff-f7f7-4aaf-801e-773b146eeeb6,2025,8,bank,62059.21,0.00,0.00